SAP ID,109004171231,
HEADER:,
Substation:,FATEHGARH_2,,SAP Equipment No.:,109004171231,,Test Date :,05-07-2023,,
Bay :,707,,Breaker Type :,GL318,,Serial Number :,32710058690010006,,
Employee Id :,60011968,,Manufacturer :,GE,,Gas Pressure :,.7,,
Oil Pressure :,NIL,,Air Pressure :,NIL,,Voltage (kV) :,765,,

SETTINGS :,
Trigger Option :,DCRM,,Sampling Speed (kC) :,10,,Reistance Range uOhm :,8000,,
Plot Length(ms) :,400,,Delay tco (ms) :,300,,Delay toc (ms) :,0,,
Current Range C1(A) :,25,,Current Range C2(A) :,25,,Current Range C3(A) :,25,,
Current Range C4(A) :,25,,Current Range C5(A) :,25,,Current Range C6(A) :,25,,
T1 (mm) :,184.72,,T2 (mm) :,184.56,,T3 (mm) :,0.00,,
T4 (mm) :,0.00,,T5 (mm) :,0.00,,T6 (mm) :,0.00,,

Velocity :,Enabled,,PIR :,Disabled,,Auxiliary :,Enabled,,
Analog Channels :,Enabled,,Linkage Ratio :,3.35,,
Electric Stroke Length T1 :,100,,Electric Stroke Length T2 :,100,,Electric Stroke Length T3 :,100,,
Electric Stroke Length T4 :,100,,Electric Stroke Length T5 :,100,,Electric Stroke Length T6 :,100,,

Velocity Points :,
Close1 :,0,,Open1 :,10,,DefClose :,10,
Close2 :,10,,Open2 :,0,,DefOpen :,10,,

Travel Results	:
Mechanism Travel(T1)(mm) :,55.14,,Mechanism Travel(T2)(mm) :,55.09,,Mechanism Travel(T3)(mm) :,0.00,,
Mechanism Travel(T4)(mm) :,0.00,,Mechanism Travel(T5)(mm) :,0.00,,Mechanism Travel(T6)(mm) :,0.00,,
Contact Travel(T1)(mm) :,184.72,,Contact Travel(T2)(mm) :,184.56,,Contact Travel(T3)(mm) :,0.00,,
Contact Travel(T4)(mm) :,0.00,,Contact Travel(T5)(mm) :,0.00,,Contact Travel(T6)(mm) :,0.00,,
Close - Datum Velocity (m/s)(T1) :,0.28,,Close - Datum Velocity (m/s)(T2) :,0.29,,Close - Datum Velocity (m/s)(T3) :,0.00,,
Close - Datum Velocity (m/s)(T4) :,0.00,,Close - Datum Velocity (m/s)(T5) :,0.00,,Close - Datum Velocity (m/s)(T6) :,0.00,,
Open - Datum Velocity (m/s)(T1) :,0.32,,Open - Datum Velocity (m/s)(T2) :,0.43,,Open - Datum Velocity (m/s)(T3) :,0.00,,
Open - Datum Velocity (m/s)(T4) :,0.00,,Open - Datum Velocity (m/s)(T5) :,0.00,,Open - Datum Velocity (m/s)(T6) :,0.00,,
Close - Over Travel(T1)(mm) :,4.25,,Close - Over Travel(T2)(mm) :,4.66,,Close - Over Travel(T3)(mm) :,0,,
Close - Over Travel(T4)(mm) :,0,,Close - Over Travel(T5)(mm) :,0,,Close - Over Travel(T6)(mm) :,0,,
Open -Rebound(T1)(mm) :,0.57,,Open - Rebound(T2)(mm) :,0.57,,Open -Rebound(T3)(mm) :,0.00,,
Open - Rebound(T4)(mm) :,0.00,,Open - Rebound(T5)(mm) :,0.00,,Open - Rebound(T6)(mm) :,0.00,,
Coil Current (A)(C1) :,10.390,,Coil Current (A)(C2) :,3.488,,Coil Current (A)(C3) :,3.605,,
Coil Current (A)(C4) :,3.583,,Coil Current (A)(C5) :,0.051,,Coil Current (A)(C6) :,0.022,,

,,,,,,,,,,,,,,Close -Velocity (m/s) :,3.65,Close -Velocity (m/s) :,3.74,Close -Velocity (m/s) :,3.71,Close -Velocity (m/s) :,3.69,Close -Velocity (m/s) :,0.00,Close -Velocity (m/s) :,0.00,
,,,,,,,,,,,,,,Open -Velocity (m/s) :,6.15,Open -Velocity (m/s) :,6.18,Open -Velocity (m/s) :,7.01,Open -Velocity (m/s) :,7.01,Open -Velocity (m/s) :,0.00,Open -Velocity (m/s) :,0.00,
,,,,,,,,,,,,,,TR1,,TR1,,TR2,,TR2,,TR5,,TR6,
,,,,,,,,,,,,,,RBreak1,,RBreak2,,RBreak3,,RBreak4,,NA,,NA,
Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp,
0.000,0.000,0.000,0.000,0.000,0.000, ,0.18,0.04,12.01,7.04,-1.17,-0.25 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,15.46,31.26,0.00,0.00,0.00,
0.059,0.000,0.000,0.000,0.000,0.000, ,0.10,0.04,-0.10,8.26,-1.17,-0.25 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,15.90,31.26,0.00,0.00,0.00,
0.256,0.000,0.000,0.022,0.015,0.000, ,0.02,0.04,-0.51,6.22,-1.17,-0.25 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,15.49,0.00,0.00,0.00,0.00,
0.498,0.000,0.000,0.007,0.029,0.000, ,0.18,0.20,-0.51,5.73,-1.17,-0.25 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,15.31,31.26,0.00,0.00,0.00,
0.777,0.000,0.000,0.007,0.037,0.007, ,0.10,0.04,-0.51,1.72,-1.17,-0.25 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,15.86,62.52,0.00,0.00,0.00,
1.077,0.000,0.015,0.000,0.015,0.000, ,0.02,-0.04,-0.51,0.16,-1.17,-0.25 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,15.64,0.00,0.00,0.00,0.00,
1.370,0.000,0.000,0.015,0.000,0.000, ,0.18,-0.04,-0.51,0.16,-1.17,-0.25 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,15.38,93.77,0.00,0.00,0.00,
1.685,0.000,0.000,0.015,0.022,0.000, ,0.27,0.20,-0.51,1.80,-1.17,-0.25 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,15.82,0.00,0.00,0.00,0.00,
1.993,0.000,0.015,0.015,0.029,0.000, ,0.18,0.12,-0.51,-0.41,-1.17,-0.25 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,15.53,62.52,0.00,0.00,0.00,
2.301,0.000,0.000,0.015,0.022,0.000, ,0.18,0.04,-0.51,-0.41,-1.17,-0.25 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,15.24,0.00,0.00,0.00,0.00,
2.594,0.000,0.000,0.000,0.022,0.000, ,0.18,0.20,-0.51,-0.41,-1.17,-0.25 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,15.90,31.26,0.00,169.96,0.00,
