Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp,
0.469,0.000,0.000,0.029,0.000,0.000, ,0.00,0.00,0.37,-0.21,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,28.90,
0.550,0.007,0.000,0.037,0.000,0.000, ,0.00,0.00,0.16,-0.43,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,28.90,
0.615,0.007,0.000,0.059,0.000,0.000, ,0.00,0.00,0.59,-0.21,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,28.90,
0.645,0.000,0.000,0.007,0.000,0.000, ,0.00,0.00,1.22,-0.85,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,28.86,
0.725,0.000,0.000,0.022,0.000,0.000, ,0.00,0.00,0.37,-0.64,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,28.90,
0.799,0.000,0.000,0.000,0.000,0.000, ,0.00,0.00,0.37,-0.64,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,28.90,
0.872,0.000,0.000,0.015,0.000,0.000, ,0.00,0.00,0.59,-0.64,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,28.90,
0.982,0.000,0.000,0.015,0.000,0.000, ,0.00,0.00,0.37,-0.43,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,28.94,
1.055,0.000,0.000,0.029,0.000,0.000, ,0.00,0.00,0.16,-0.43,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,28.90,
1.143,0.000,0.000,0.015,0.000,0.000, ,0.00,0.00,-0.27,-0.43,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,28.90,
1.224,0.007,0.000,0.015,0.000,0.000, ,0.00,0.00,0.80,-0.85,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,28.90,
1.319,0.000,0.000,0.000,0.000,0.000, ,0.00,0.00,0.16,-0.21,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,28.94,
1.370,0.000,0.000,0.000,0.000,0.000, ,0.00,0.00,-0.05,-0.64,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4.88,28.90,
1.458,0.000,0.000,0.000,0.000,0.000, ,0.00,0.00,0.80,-0.43,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,28.94,
1.561,0.000,0.000,0.007,0.000,0.000, ,0.00,0.00,0.80,-0.43,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,28.94,
1.649,0.000,0.000,0.015,0.000,0.000, ,0.00,0.00,-0.05,-0.43,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,28.94,
1.751,0.000,0.000,0.015,0.000,0.000, ,0.00,0.00,0.16,-0.64,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,28.90,
1.832,0.000,0.000,0.000,0.000,0.000, ,0.00,0.00,0.37,-1.06,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,28.86,
1.898,0.000,0.000,0.007,0.000,0.000, ,0.00,0.00,0.80,-0.85,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,28.83,
1.971,0.000,0.000,0.007,0.000,0.000, ,0.00,0.00,-0.27,-0.21,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,28.90,
2.037,0.000,0.000,0.000,0.000,0.000, ,0.00,0.00,0.37,-0.64,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,28.90,
2.125,0.000,0.000,0.015,0.000,0.000, ,0.00,0.00,0.37,-0.85,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,28.90,
2.191,0.000,0.000,0.015,0.000,0.000, ,0.00,0.00,0.37,-1.06,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,28.90,
