Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp,
0.337,0.000,0.000,0.073,0.029,0.044, ,-1.25,1.51,-0.43,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,55.02,2000.00,0.00,2000.00,0.00,
0.418,0.000,0.000,0.000,0.000,0.000, ,-1.65,-0.07,-0.43,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.98,2000.00,0.00,2000.00,0.00,
0.403,0.000,0.000,0.059,0.029,0.029, ,-1.91,-0.46,0.36,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.98,2000.00,0.00,2000.00,0.00,
0.491,0.000,0.000,0.015,0.000,0.000, ,-1.78,-0.72,0.63,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,55.02,2000.00,0.00,2000.00,0.00,
0.506,0.000,0.000,0.037,0.000,0.000, ,-1.38,-0.20,-0.03,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,55.02,2000.00,0.00,2000.00,0.00,
0.572,0.000,0.000,0.015,0.000,0.000, ,-1.78,-0.59,-0.03,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.98,2000.00,0.00,2000.00,0.00,
0.689,0.000,0.007,0.000,0.000,0.000, ,-2.04,-0.20,-0.30,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,55.02,2000.00,0.00,2000.00,0.00,
0.674,0.000,0.000,0.022,0.000,0.000, ,-1.65,-0.46,0.76,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.98,2000.00,0.00,2000.00,0.00,
0.740,0.000,0.000,0.022,0.000,0.022, ,-1.65,0.33,0.10,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,55.02,2000.00,0.00,2000.00,0.00,
0.769,0.000,0.000,0.022,0.000,0.000, ,-1.38,0.33,-0.30,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,55.02,2000.00,0.00,2000.00,0.00,
0.835,0.000,0.000,0.037,0.000,0.000, ,-2.30,-0.59,0.23,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.98,2000.00,0.00,2000.00,0.00,
0.828,0.000,0.000,0.059,0.029,0.037, ,-1.65,0.33,-0.16,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,55.02,2000.00,0.00,2000.00,0.00,
0.916,0.000,0.000,0.037,0.015,0.029, ,-1.78,-0.20,0.23,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.98,2000.00,0.00,2000.00,0.00,
0.996,0.000,0.000,0.000,0.000,0.000, ,-1.38,0.46,-0.16,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.98,2000.00,0.00,2000.00,0.00,
0.989,0.000,0.000,0.000,0.000,0.000, ,-1.12,0.07,-0.82,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.98,2000.00,0.00,2000.00,0.00,
1.018,0.000,0.000,0.029,0.000,0.015, ,-1.65,-0.59,0.49,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,1.47,55.02,2000.00,0.00,2000.00,0.00,
1.048,0.000,0.000,0.044,0.015,0.000, ,-1.78,0.59,0.49,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.98,2000.00,0.00,2000.00,0.00,
1.106,0.000,0.000,0.066,0.015,0.000, ,-1.65,-0.07,-0.16,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,55.02,2000.00,0.00,2000.00,0.00,
1.143,0.000,0.000,0.007,0.015,0.029, ,-1.51,-0.46,-0.30,0.00,0.00,0.00 ,,2000.00,0.00,2000.00,0.00,2000.00,0.00,0.00,54.98,2000.00,0.00,2000.00,0.00,
