SAP ID,109004171231,
HEADER:,
Substation:,FATEHGARH_2,,SAP Equipment No.:,109004171231,,Test Date :,05-07-2023,,
Bay :,707,,Breaker Type :,GL318,,Serial Number :,32710058690010006,,
Employee Id :,60011968,,Manufacturer :,GE,,Gas Pressure :,.7,,
Oil Pressure :,NIL,,Air Pressure :,NIL,,Voltage (kV) :,765,,

SETTINGS :,
Trigger Option :,DCRM,,Sampling Speed (kC) :,10,,Reistance Range uOhm :,8000,,
Plot Length(ms) :,500,,Delay tco (ms) :,300,,Delay toc (ms) :,0,,
Current Range C1(A) :,25,,Current Range C2(A) :,25,,Current Range C3(A) :,25,,
Current Range C4(A) :,25,,Current Range C5(A) :,25,,Current Range C6(A) :,25,,
T1 (mm) :,139.44,,T2 (mm) :,138.89,,T3 (mm) :,0.00,,
T4 (mm) :,0.00,,T5 (mm) :,0.00,,T6 (mm) :,0.00,,

Velocity :,Enabled,,PIR :,Disabled,,Auxiliary :,Enabled,,
Analog Channels :,Enabled,,Linkage Ratio :,2.5,,
Electric Stroke Length T1 :,100,,Electric Stroke Length T2 :,100,,Electric Stroke Length T3 :,100,,
Electric Stroke Length T4 :,100,,Electric Stroke Length T5 :,100,,Electric Stroke Length T6 :,100,,

Velocity Points :,
Close1 :,30,,Open1 :,30,,DefClose :,10,
Close2 :,60,,Open2 :,60,,DefOpen :,10,,

Travel Results	:
Mechanism Travel(T1)(mm) :,55.78,,Mechanism Travel(T2)(mm) :,55.56,,Mechanism Travel(T3)(mm) :,0.00,,
Mechanism Travel(T4)(mm) :,0.00,,Mechanism Travel(T5)(mm) :,0.00,,Mechanism Travel(T6)(mm) :,0.00,,
Contact Travel(T1)(mm) :,139.44,,Contact Travel(T2)(mm) :,138.89,,Contact Travel(T3)(mm) :,0.00,,
Contact Travel(T4)(mm) :,0.00,,Contact Travel(T5)(mm) :,0.00,,Contact Travel(T6)(mm) :,0.00,,
Close - Datum Velocity (m/s)(T1) :,2.82,,Close - Datum Velocity (m/s)(T2) :,2.63,,Close - Datum Velocity (m/s)(T3) :,0.00,,
Close - Datum Velocity (m/s)(T4) :,0.00,,Close - Datum Velocity (m/s)(T5) :,0.00,,Close - Datum Velocity (m/s)(T6) :,0.00,,
Open - Datum Velocity (m/s)(T1) :,5.52,,Open - Datum Velocity (m/s)(T2) :,5.12,,Open - Datum Velocity (m/s)(T3) :,0.00,,
Open - Datum Velocity (m/s)(T4) :,0.00,,Open - Datum Velocity (m/s)(T5) :,0.00,,Open - Datum Velocity (m/s)(T6) :,0.00,,
Close - Over Travel(T1)(mm) :,4.58,,Close - Over Travel(T2)(mm) :,3.72,,Close - Over Travel(T3)(mm) :,0,,
Close - Over Travel(T4)(mm) :,0,,Close - Over Travel(T5)(mm) :,0,,Close - Over Travel(T6)(mm) :,0,,
Open -Rebound(T1)(mm) :,0.61,,Open - Rebound(T2)(mm) :,0.55,,Open -Rebound(T3)(mm) :,0.00,,
Open - Rebound(T4)(mm) :,0.00,,Open - Rebound(T5)(mm) :,0.00,,Open - Rebound(T6)(mm) :,0.00,,
Coil Current (A)(C1) :,10.309,,Coil Current (A)(C2) :,3.466,,Coil Current (A)(C3) :,3.583,,
Coil Current (A)(C4) :,3.561,,Coil Current (A)(C5) :,0.051,,Coil Current (A)(C6) :,0.037,,

,,,,,,,,,,,,,,Close -Velocity (m/s) :,2.80,Close -Velocity (m/s) :,2.78,Close -Velocity (m/s) :,0.00,Close -Velocity (m/s) :,0.00,Close -Velocity (m/s) :,0.00,Close -Velocity (m/s) :,0.00,
,,,,,,,,,,,,,,Open -Velocity (m/s) :,5.37,Open -Velocity (m/s) :,5.42,Open -Velocity (m/s) :,0.16,Open -Velocity (m/s) :,0.16,Open -Velocity (m/s) :,0.00,Open -Velocity (m/s) :,0.00,
,,,,,,,,,,,,,,TR1,,TR1,,TR2,,TR2,,TR5,,TR6,
,,,,,,,,,,,,,,YBreak3,,YBreak4,,NA,,NA,,NA,,NA,
Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp,
0.000,0.000,0.000,0.000,0.022,0.000, ,0.70,0.60,13.13,6.72,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,101.59,0.00,64.47,0.00,0.00,0.00,
0.015,0.000,0.000,0.000,0.007,0.000, ,0.46,0.23,2.32,2.99,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0.183,0.000,0.000,0.000,0.000,0.000, ,0.46,0.35,0.00,5.98,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,41.03,0.00,33.21,0.00,164.10,0.00,
0.396,0.000,0.000,0.000,0.000,0.000, ,0.52,0.35,0.00,4.58,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,82.05,0.00,64.47,0.00,0.00,0.00,
0.681,0.000,0.000,0.007,0.015,0.000, ,0.40,0.23,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,2666.67,0.00,0.00,0.00,0.00,0.00,334.07,0.00,
0.982,0.000,0.000,0.007,0.007,0.000, ,0.46,0.17,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,19.54,0.00,0.00,0.00,0.00,0.00,
1.268,0.000,0.000,0.007,0.037,0.000, ,0.46,0.29,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,33.21,0.00,0.00,0.00,
1.590,0.000,0.000,0.015,0.037,0.000, ,0.40,0.29,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,5999.51,0.00,21.49,0.00,0.00,0.00,0.00,0.00,
1.890,0.000,0.000,0.000,0.007,0.000, ,0.52,0.35,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,19.54,0.00,97.68,0.00,0.00,0.00,
2.191,0.000,0.000,0.000,0.007,0.000, ,0.40,0.29,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,5999.51,0.00,19.54,0.00,0.00,0.00,0.00,0.00,
2.499,0.000,0.000,0.000,0.007,0.000, ,0.34,0.17,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,62.52,0.00,64.47,0.00,0.00,0.00,
2.784,0.000,0.000,0.007,0.015,0.000, ,0.34,0.17,0.00,0.00,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,41.03,0.00,64.47,0.00,0.00,0.00,
