Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp,
0.791,0.000,0.000,0.000,0.000,0.000, ,0.24,-0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2222.22,0.00,4000.00,0.00,
0.879,0.000,0.000,0.000,0.000,0.000, ,0.16,-0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1619.54,0.00,2222.22,0.00,4000.00,0.00,
0.967,0.000,0.000,0.000,0.000,0.000, ,0.08,0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2222.22,0.00,4000.00,0.00,
1.062,0.000,0.000,0.000,0.000,0.000, ,0.00,-0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1488.64,0.00,2222.22,0.00,4000.00,0.00,
1.150,0.000,0.000,0.000,0.000,0.000, ,0.08,0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1488.64,0.00,2222.22,0.00,4000.00,0.00,
1.224,0.000,0.000,0.000,0.000,0.000, ,0.08,-0.12,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2222.22,0.00,4000.00,0.00,
1.319,0.000,0.000,0.000,0.000,0.000, ,0.00,0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2285.71,0.00,4000.00,0.00,
1.385,0.000,0.000,0.000,0.000,0.000, ,0.16,-0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1619.54,0.00,2222.22,0.00,4000.00,0.00,
1.465,0.000,0.000,0.000,0.000,0.000, ,0.08,-0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2222.22,0.00,4000.00,0.00,
1.539,0.000,0.000,0.000,0.007,0.000, ,0.08,-0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2222.22,0.00,4000.00,0.00,
1.619,0.000,0.000,0.000,0.000,0.000, ,0.16,-0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2285.71,0.00,4000.00,0.00,
1.700,0.000,0.007,0.007,0.000,0.000, ,0.16,0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2222.22,0.00,4000.00,0.00,
1.766,0.000,0.000,0.000,0.000,0.000, ,0.16,0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1488.64,0.00,2285.71,0.00,4000.00,0.00,
1.832,0.000,0.000,0.000,0.000,0.000, ,0.08,-0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1488.64,0.00,2222.22,0.00,4000.00,0.00,
1.912,0.000,0.000,0.007,0.000,0.000, ,0.00,-0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1488.64,0.00,2222.22,0.00,4000.00,0.00,
1.964,0.000,0.000,0.000,0.000,0.007, ,0.08,0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2285.71,0.00,4000.00,0.00,
2.037,0.000,0.000,0.000,0.000,0.000, ,0.00,-0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2222.22,0.00,4000.00,0.00,
2.118,0.000,0.000,0.000,0.000,0.000, ,0.08,-0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1488.64,0.00,2285.71,0.00,4000.00,0.00,
2.161,0.000,0.000,0.000,0.000,0.000, ,0.08,-0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2222.22,0.00,4000.00,0.00,
2.235,0.000,0.000,0.000,0.000,0.000, ,0.24,-0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2222.22,0.00,4000.00,0.00,
2.293,0.000,0.000,0.000,0.000,0.000, ,0.08,0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2222.22,0.00,4000.00,0.00,
2.352,0.000,0.000,0.000,0.000,0.000, ,0.08,0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1488.64,0.00,2222.22,0.00,4000.00,0.00,
2.411,0.000,0.000,0.000,0.000,0.000, ,0.08,-0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2222.22,0.00,4000.00,0.00,
2.462,0.000,0.000,0.000,0.000,0.000, ,0.08,-0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2222.22,0.00,4000.00,0.00,
2.521,0.000,0.007,0.000,0.000,0.000, ,0.00,0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1488.64,0.00,2222.22,0.00,4000.00,0.00,
2.572,0.000,0.000,0.000,0.000,0.000, ,0.08,-0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2222.22,0.00,4000.00,0.00,
2.608,0.000,0.000,0.000,0.000,0.000, ,0.00,0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2222.22,0.00,4000.00,0.00,
2.652,0.000,0.000,0.000,0.000,0.000, ,0.00,0.12,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2222.22,0.00,4000.00,0.00,
2.711,0.000,0.000,0.000,0.000,0.000, ,0.16,-0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2222.22,0.00,4000.00,0.00,
2.726,0.000,0.000,0.000,0.000,0.000, ,0.00,0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1488.64,0.00,2222.22,0.00,4000.00,0.00,
2.792,0.000,0.000,0.000,0.000,0.000, ,0.08,0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2285.71,0.00,4000.00,0.00,
2.836,0.000,0.007,0.000,0.000,0.000, ,0.08,0.12,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2285.71,0.00,4000.00,0.00,
2.858,0.000,0.000,0.000,0.000,0.000, ,0.00,-0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2222.22,0.00,4000.00,0.00,
2.887,0.000,0.000,0.000,0.000,0.000, ,0.08,0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2222.22,0.00,4000.00,0.00,
2.938,0.000,0.000,0.000,0.000,0.000, ,0.00,0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2222.22,0.00,4000.00,0.00,
2.960,0.000,0.000,0.000,0.000,0.000, ,0.08,0.04,0.00,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,1523.81,0.00,2285.71,0.00,4000.00,0.00,
