Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp,
2.997,0.000,0.000,0.007,0.015,0.000, ,-0.14,-0.51,19.63,10.14,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,62.52,0.00,0.00,0.00,
3.290,0.000,0.007,0.007,0.015,0.000, ,-0.39,-0.67,19.47,8.10,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,0.00,0.00,
3.554,0.000,0.000,0.000,0.015,0.000, ,-0.31,-0.51,19.72,5.97,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,31.26,0.00,0.00,0.00,
3.854,0.000,0.000,0.000,0.007,0.000, ,-0.39,-0.51,19.80,7.94,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,31.26,0.00,0.00,0.00,
4.132,0.000,0.000,0.000,0.022,0.000, ,-0.22,-0.51,19.72,8.84,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,0.00,0.00,
4.389,0.000,0.000,0.000,0.015,0.000, ,-0.31,-0.51,19.80,10.14,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,62.52,0.00,169.96,0.00,
4.623,0.000,0.000,0.000,0.000,0.000, ,-0.06,-0.27,19.80,10.06,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,31.26,0.00,0.00,0.00,
4.902,0.000,0.000,0.000,0.007,0.000, ,-0.22,-0.35,19.80,9.08,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,0.00,0.00,
5.151,0.000,0.000,0.000,0.007,0.000, ,-0.22,-0.51,19.72,7.61,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,95.73,0.00,0.00,0.00,
5.385,0.000,0.000,0.007,0.007,0.000, ,-0.14,-0.43,19.63,6.54,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,0.00,0.00,
5.635,0.000,0.000,0.000,0.007,0.000, ,-0.14,-0.43,19.55,8.26,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,0.00,0.00,0.00,0.00,
5.891,0.000,0.000,0.000,0.000,0.000, ,-0.22,-0.43,19.47,9.24,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,31.26,0.00,0.00,0.00,
6.103,0.000,0.000,0.000,0.000,0.000, ,-0.31,-0.51,19.72,10.31,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,31.26,0.00,0.00,0.00,
6.316,0.000,0.000,0.007,0.015,0.000, ,-0.22,-0.35,19.39,8.84,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,62.52,0.00,0.00,0.00,
6.536,0.000,0.000,0.007,0.015,0.007, ,-0.22,-0.43,19.06,6.79,0.00,0.00 ,,8000.00,0.00,8000.00,0.00,8000.00,0.00,8000.00,0.00,31.26,0.00,0.00,0.00,
