Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp,
0.945,0.000,0.000,0.059,0.000,0.000, ,0.00,0.00,0.00,0.00,0.21,-0.05 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.29,
1.040,0.000,0.000,0.029,0.000,0.000, ,0.00,0.00,0.00,0.00,0.00,-0.05 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.29,
1.165,0.000,0.000,0.022,0.000,0.000, ,0.00,0.00,0.00,0.00,-0.85,0.80 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.32,
1.290,0.000,0.000,0.029,0.000,0.000, ,0.00,0.00,0.00,0.00,-0.85,0.80 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.32,
1.385,0.000,0.000,0.051,0.000,0.000, ,0.00,0.00,0.00,0.00,0.85,-0.48 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.32,
1.487,0.000,0.000,0.051,0.000,0.000, ,0.00,0.00,0.00,0.00,0.64,-0.05 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.25,
1.605,0.000,0.000,0.051,0.000,0.000, ,0.00,0.00,0.00,0.00,-0.64,0.80 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.25,
1.700,0.000,0.000,0.029,0.000,0.000, ,0.00,0.00,0.00,0.00,-1.49,0.80 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.29,
1.802,0.007,0.000,0.066,0.000,0.000, ,0.00,0.00,0.00,0.00,-1.28,0.59 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.29,
1.890,0.000,0.000,0.029,0.000,0.000, ,0.00,0.00,0.00,0.00,0.21,-0.69 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,0.00,34.29,
