Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp,
0.000,0.384,0.000,0.000,0.012,0.015, ,0.00,0.00,-0.09,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,15.02,4000.00,0.00,
0.009,0.393,0.000,0.003,0.000,0.000, ,0.00,0.00,-0.15,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,15.05,4000.00,0.00,
0.000,0.404,0.000,0.000,0.000,0.000, ,0.00,0.00,-0.03,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,15.02,4000.00,0.00,
0.000,0.428,0.000,0.006,0.000,0.003, ,0.00,0.00,-0.03,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,15.02,4000.00,0.00,
0.000,0.448,0.000,0.003,0.000,0.000, ,0.00,0.00,-0.15,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,15.05,4000.00,0.00,
0.000,0.475,0.000,0.000,0.000,0.000, ,0.00,0.00,-0.09,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,15.05,4000.00,0.00,
0.000,0.487,0.023,0.006,0.003,0.026, ,0.00,0.00,-0.09,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,15.05,4000.00,0.00,
0.000,0.530,0.000,0.003,0.000,0.000, ,0.00,0.00,-0.09,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,15.05,4000.00,0.00,
0.000,0.557,0.000,0.000,0.000,0.000, ,0.00,0.00,0.09,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,15.05,4000.00,0.00,
0.000,0.583,0.000,0.003,0.000,0.003, ,0.00,0.00,-0.03,0.00,0.00,0.00 ,,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,0.00,4000.00,15.05,4000.00,0.00,
