,,,,,,,,,,,,,,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,3.51,Close -Velocity (m/s) :,3.47,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0
,,,,,,,,,,,,,,Open -Velocity (m/s) :,0.19,Open -Velocity (m/s) :,0.19,Open -Velocity (m/s) :,6.04,Open -Velocity (m/s) :,6.04,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,0
,,,,,,,,,,,,,,TR4,,TR4,,TR4,,TR4,,TR2,,TR2,
,,,,,,,,,,,,,,NA,,NA,,RBreak1,,RBreak2,,NA,,NA,
Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp
0.996,1.121,0.967,0.029,0,0, ,0,0,0,0.02,0,0,,4000,16.7,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.004,1.136,1.004,0.029,0,0, ,0,0,0,0.18,0,0,,4000,16.7,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.004,1.143,0.982,0.051,0,0, ,0,0,0,0.18,0,0,,4000,16.74,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.055,1.172,1.018,0.037,0,0, ,0,0,0,0.02,0,0,,4000,16.7,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.084,1.202,1.077,0.044,0,0, ,0,0,0,0.02,0,0,,4000,16.67,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.055,1.194,1.026,0.044,0,0, ,0,0,0,0.02,0,0,,4000,16.67,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.084,1.216,1.07,0.022,0,0, ,0,0,0,-0.06,0,0,,4000,16.7,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.099,1.238,1.092,0.044,0,0, ,0,0,0,0.18,0,0,,4000,16.74,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.106,1.216,1.084,0.044,0,0, ,0,0,0,-0.14,0,0,,4000,16.67,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.143,1.26,1.099,0.022,0,0, ,0,0,0,-0.14,0,0,,4000,16.67,4000,0,4000,0,4000,0,4000,0,2896.21,0
1.136,1.253,1.092,0.029,0,0, ,0,0,0,0.1,0,0,,4000,16.7,4000,0,4000,0,4000,0,4000,0,2896.21,0
