,,,,,,,,,,,,,,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,3.71,Close -Velocity (m/s) :,3.77,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0
,,,,,,,,,,,,,,Open -Velocity (m/s) :,0.12,Open -Velocity (m/s) :,0.12,Open -Velocity (m/s) :,6.63,Open -Velocity (m/s) :,6.6,Open -Velocity (m/s) :,0.12,Open -Velocity (m/s) :,0.12
,,,,,,,,,,,,,,TR4,,TR4,,TR4,,TR4,,TR4,,TR4,
,,,,,,,,,,,,,,NA,,NA,,RBreak1,,RBreak2,,NA,,NA,
Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp
4.44,0.037,0.029,0.037,0,0, ,0,0,0,-0.06,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,341.88,0
4.418,0.015,0.015,0.029,0,0, ,0,0,0,-0.06,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,315.51,0
4.404,0,0,0.073,0,0, ,0,0,0,0.02,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,340.9,0
4.433,0.022,0.007,0.044,0,0, ,0,0,0,-0.06,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,330.16,0
4.426,0.015,0,0.037,0,0, ,0,0,0,-0.14,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,341.88,0
4.404,0,0,0.051,0,0, ,0,0,0,-0.06,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,330.16,0
4.411,0.007,0,0.051,0,0, ,0,0,0,-0.14,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,329.18,0
4.426,0.022,0,0.029,0,0, ,0,0,0,0.02,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,342.86,0
4.426,0.007,0,0.022,0,0, ,0,0,0,-0.14,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,329.18,0
4.411,0,0,0.051,0,0, ,0,0,0,0.02,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,355.56,0
4.411,0,0.007,0.029,0,0, ,0,0,0,0.1,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,341.88,0
4.433,0.015,0,0.037,0,0, ,0,0,0,-0.14,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,354.58,0
4.411,0,0,0.044,0,0, ,0,0,0,-0.14,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,340.9,0
4.404,0,0,0.051,0,0, ,0,0,0,0.1,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,355.56,0
4.418,0,0,0.029,0,0, ,0,0,0,-0.06,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,354.58,0
4.404,0,0,0.029,0,0, ,0,0,0,-0.14,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,355.56,0
4.411,0,0,0.059,0,0, ,0,0,0,0.02,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,367.28,0
4.426,0,0,0.044,0,0, ,0,0,0,0.02,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,340.9,0
4.433,0,0,0.051,0,0, ,0,0,0,0.18,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,367.28,0
4.418,0,0,0.029,0,0, ,0,0,0,0.02,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,355.56,0
4.411,0,0,0.051,0,0, ,0,0,0,-0.06,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,355.56,0
4.448,0.029,0.022,0.037,0,0, ,0,0,0,0.02,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,367.28,0
4.448,0.022,0,0.037,0,0, ,0,0,0,-0.14,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,354.58,0
4.426,0.007,0,0.037,0,0, ,0,0,0,-0.06,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,340.9,0
4.411,0,0,0.051,0,0, ,0,0,0,0.02,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,354.58,0
4.426,0.015,0,0.044,0,0, ,0,0,0,0.02,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,379.98,0
4.448,0.029,0,0.044,0,0, ,0,0,0,0.1,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,354.58,0
4.433,0.022,0,0.059,0,0, ,0,0,0,0.02,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,354.58,0
4.44,0.029,0.007,0.044,0,0, ,0,0,0,-0.06,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,354.58,0
4.44,0.029,0.029,0.037,0,0, ,0,0,0,0.1,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,368.25,0
4.426,0.015,0.015,0.037,0,0, ,0,0,0,-0.06,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,354.58,0
4.396,0.007,0,0.066,0,0.007, ,0,0,0,-0.06,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,341.88,0
4.433,0.022,0.022,0.051,0,0, ,0,0,0,0.02,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,368.25,0
4.411,0,0,0.037,0,0, ,0,0,0,-0.14,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,368.25,0
