,,,,,,,,,,,,,,Close -Velocity (m/s) :,3.84,Close -Velocity (m/s) :,3.84,Close -Velocity (m/s) :,3.88,Close -Velocity (m/s) :,3.77,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0
,,,,,,,,,,,,,,Open -Velocity (m/s) :,6.33,Open -Velocity (m/s) :,6.31,Open -Velocity (m/s) :,7.59,Open -Velocity (m/s) :,7.07,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,0
,,,,,,,,,,,,,,TR1,,TR1,,TR2,,TR2,,TR5,,TR6,
,,,,,,,,,,,,,,RBreak1,,RBreak2,,YBreak1,,YBreak2,,NA,,NA,
Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp
0,0,0,0.044,0,0, ,-0.06,-0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
0,0,0,0.044,0,0, ,0.02,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
0.029,0,0,0.059,0,0, ,0.1,-0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
0.095,0,0,0.059,0,0, ,0.1,0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
0.205,0.007,0,0.059,0,0, ,0.02,-0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
0.308,0.015,0,0.073,0,0, ,0.1,-0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
