,,,,,,,,,,,,,,Close -Velocity (m/s) :,3.84,Close -Velocity (m/s) :,3.84,Close -Velocity (m/s) :,3.88,Close -Velocity (m/s) :,3.77,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0
0.418,0.015,0.015,0.066,0,0, ,0.1,0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
0.506,0,0,0.059,0,0, ,0.02,0.28,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
0.615,0,0,0.044,0,0, ,-0.14,0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
0.718,0.007,0,0.051,0,0, ,0.1,0.28,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
0.821,0,0,0.059,0,0, ,0.1,0.2,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
0.945,0.007,0,0.051,0,0, ,0.1,-0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
1.055,0.015,0,0.066,0,0, ,0.18,0.2,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
1.143,0,0,0.059,0,0, ,0.1,0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
1.231,0,0,0.044,0,0, ,-0.06,0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
1.348,0,0,0.044,0,0, ,-0.06,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
1.436,0,0,0.044,0,0, ,0.02,0.2,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
1.546,0,0,0.059,0,0, ,-0.06,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
1.641,0,0.007,0.059,0,0, ,-0.06,-0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
1.737,0.007,0,0.066,0,0, ,0.1,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
1.824,0,0.007,0.066,0,0, ,0.1,0.2,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
1.92,0,0,0.044,0,0, ,0.1,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
2.008,0,0,0.051,0,0, ,-0.06,0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
2.081,0,0,0.044,0,0, ,0.02,0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
2.183,0,0,0.044,0,0, ,0.02,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
2.293,0,0,0.073,0,0, ,-0.22,-0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
2.359,0.007,0,0.073,0,0, ,0.1,0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
2.433,0,0,0.066,0,0, ,-0.14,-0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
2.513,0,0,0.059,0,0, ,-0.14,-0.28,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
2.594,0,0,0.051,0,0, ,0.02,0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
2.667,0,0,0.059,0,0, ,-0.06,-0.2,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
2.748,0.007,0,0.059,0,0, ,0.02,0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
2.836,0,0,0.066,0,0, ,0.1,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
2.887,0,0,0.059,0,0, ,0.18,0.2,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
2.967,0,0,0.059,0,0, ,-0.14,-0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
3.011,0,0,0.051,0,0, ,-0.06,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
3.063,0,0,0.044,0,0, ,0.02,-0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
3.114,0,0,0.044,0,0, ,-0.06,-0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
3.187,0.007,0,0.066,0,0, ,0.02,0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
3.224,0.007,0,0.059,0,0, ,-0.06,0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
3.268,0,0,0.066,0,0, ,-0.06,0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
3.326,0.007,0,0.059,0,0, ,-0.14,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
3.326,0,0,0.044,0,0, ,-0.06,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
3.356,0,0,0.059,0,0, ,-0.06,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
3.385,0,0,0.051,0,0, ,-0.06,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
3.407,0,0,0.059,0,0, ,0.02,0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
3.422,0.015,0,0.066,0,0, ,-0.14,0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
3.429,0,0,0.051,0,0, ,-0.06,0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
3.429,0,0,0.059,0,0, ,-0.06,0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
3.444,0,0,0.059,0,0, ,-0.06,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
3.48,0,0,0.044,0,0, ,-0.14,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
3.539,0,0,0.066,0,0, ,0.1,0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
3.576,0,0,0.051,0,0, ,-0.06,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
3.642,0.007,0,0.066,0,0, ,0.02,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
3.693,0.007,0,0.059,0,0, ,0.02,0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
3.715,0,0,0.066,0,0, ,-0.06,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
3.773,0,0,0.066,0,0, ,-0.14,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
3.817,0,0,0.066,0,0, ,-0.06,-0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
3.861,0,0,0.059,0,0, ,0.02,0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
3.898,0,0,0.059,0,0, ,0.02,0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
3.949,0,0,0.066,0,0, ,-0.22,-0.2,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
3.986,0,0,0.059,0,0, ,0.02,0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.015,0.007,0,0.066,0,0, ,-0.06,0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.03,0,0,0.037,0,0, ,-0.06,-0.2,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.074,0.007,0,0.051,0,0, ,-0.14,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.089,0,0,0.066,0,0, ,0.02,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.125,0,0,0.051,0,0, ,-0.14,-0.2,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.169,0.007,0,0.066,0,0, ,-0.06,0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.176,0.007,0,0.066,0,0, ,0.02,0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.191,0,0,0.051,0,0, ,0.02,0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.22,0,0,0.044,0,0, ,0.02,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.228,0,0,0.044,0,0, ,0.02,0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.25,0,0,0.051,0,0, ,-0.06,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.279,0,0.007,0.059,0,0, ,0.02,0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.286,0.007,0,0.059,0,0, ,0.1,0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.294,0.007,0.007,0.073,0,0, ,0.02,0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.294,0,0,0.051,0,0, ,-0.22,-0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.294,0,0,0.044,0,0, ,0.1,0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.316,0,0,0.044,0,0, ,0.02,0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.323,0,0,0.044,0,0, ,0.02,0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.345,0,0,0.051,0,0, ,-0.14,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.36,0,0,0.066,0,0, ,-0.14,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.367,0,0,0.059,0,0, ,0.02,0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.36,0,0.007,0.059,0,0, ,-0.06,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.352,0,0,0.051,0,0, ,-0.06,-0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.352,0,0,0.051,0,0, ,0.02,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.374,0,0,0.059,0,0, ,0.1,0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.389,0,0,0.066,0,0, ,0.02,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.389,0,0,0.066,0,0, ,-0.14,-0.2,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.396,0,0,0.066,0,0, ,-0.06,0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.389,0,0,0.059,0,0, ,-0.3,-0.36,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.396,0,0,0.051,0,0, ,-0.14,-0.2,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.396,0,0,0.059,0,0, ,-0.06,-0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.389,0,0,0.051,0,0, ,0.18,0.28,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.404,0,0,0.066,0,0, ,-0.06,-0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.404,0,0,0.073,0,0, ,-0.06,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.411,0,0,0.066,0,0, ,0.1,0.2,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.396,0,0,0.059,0,0, ,0.02,0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.396,0,0,0.051,0,0, ,-0.06,-0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.404,0,0,0.051,0,0, ,-0.06,0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.389,0,0,0.051,0,0, ,-0.06,0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.418,0,0,0.066,0,0, ,0.02,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.418,0,0,0.059,0,0, ,-0.06,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.404,0,0,0.059,0,0, ,-0.06,0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.411,0,0,0.059,0,0, ,-0.3,-0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.411,0.007,0,0.051,0,0, ,-0.06,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.404,0,0,0.051,0,0, ,0.02,0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.418,0,0,0.051,0,0, ,0.02,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.426,0,0,0.059,0,0, ,-0.06,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.44,0,0,0.066,0,0, ,-0.06,0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.44,0.007,0.015,0.066,0,0, ,-0.14,0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.455,0,0,0.051,0,0, ,-0.14,-0.2,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.455,0,0,0.044,0,0, ,0.02,0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.455,0,0,0.051,0,0, ,-0.06,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.455,0,0,0.051,0,0, ,-0.14,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.484,0.007,0,0.073,0,0, ,-0.06,-0.2,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.47,0,0,0.059,0,0, ,-0.14,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.484,0.007,0.007,0.066,0,0, ,0.1,0.2,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.477,0,0,0.059,0,0, ,-0.3,0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.47,0,0,0.059,0,0, ,-0.06,0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.484,0.007,0,0.059,0,0, ,-0.14,0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.484,0,0,0.066,0,0, ,0.02,0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.492,0.007,0,0.066,0,0, ,-0.06,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.492,0,0,0.066,0,0, ,-0.22,-0.2,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.492,0,0,0.066,0,0, ,-0.14,-0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.492,0,0,0.051,0,0, ,-0.06,0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.484,0,0,0.044,0,0, ,-0.06,-0.2,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.484,0,0,0.051,0,0, ,-0.14,0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.492,0,0,0.073,0,0, ,-0.06,0.2,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.499,0,0,0.051,0,0, ,-0.14,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.513,0,0,0.066,0,0, ,-0.14,0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.506,0,0,0.066,0,0, ,0.02,0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.513,0,0,0.059,0,0, ,-0.14,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.492,0,0,0.051,0,0, ,-0.06,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.492,0,0,0.051,0,0, ,-0.14,0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.484,0,0,0.059,0,0, ,0.02,0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.506,0,0,0.066,0,0, ,-0.06,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.506,0,0,0.051,0,0, ,0.02,-0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.506,0.007,0,0.059,0,0, ,-0.06,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.492,0,0,0.044,0,0, ,0.02,-0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.499,0,0,0.037,0,0, ,-0.06,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.506,0,0,0.059,0,0, ,-0.06,0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.499,0,0,0.037,0,0, ,0.02,0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.521,0,0.007,0.059,0,0, ,-0.06,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.528,0,0,0.066,0,0, ,-0.06,0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.513,0,0,0.059,0,0, ,-0.06,0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.521,0,0,0.037,0,0, ,-0.22,-0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.506,0,0,0.051,0,0, ,-0.14,0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.506,0,0,0.051,0,0, ,-0.06,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.492,0,0,0.051,0,0, ,-0.22,0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.492,0,0,0.051,0,0, ,-0.06,0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.492,0,0,0.059,0,0, ,-0.06,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.492,0.015,0.015,0.059,0,0, ,-0.14,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.477,0.007,0,0.044,0,0, ,-0.22,-0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.47,0,0,0.059,0,0, ,-0.06,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.462,0,0,0.037,0,0, ,-0.06,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.462,0,0,0.051,0,0, ,-0.06,0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.477,0.007,0,0.066,0,0, ,-0.14,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.47,0,0,0.066,0,0, ,-0.14,0.2,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.484,0.007,0,0.073,0,0, ,-0.06,0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.462,0,0,0.051,0,0, ,-0.06,0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.448,0,0,0.051,0,0, ,0.02,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.455,0,0,0.059,0,0, ,0.02,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.44,0,0,0.059,0,0, ,-0.14,-0.2,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.462,0,0,0.051,0,0, ,0.02,-0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.477,0,0,0.066,0,0, ,0.02,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.477,0,0,0.066,0,0, ,0.1,0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.499,0,0,0.073,0,0, ,-0.06,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.499,0,0,0.051,0,0, ,0.02,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.513,0,0,0.044,0,0, ,-0.14,0.2,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.521,0,0,0.073,0,0, ,0.1,0.28,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.521,0,0,0.051,0,0, ,-0.06,-0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.535,0.015,0,0.066,0,0, ,0.1,0.2,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.513,0,0,0.059,0,0, ,0.1,0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.506,0,0,0.044,0,0, ,-0.06,-0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.513,0,0,0.044,0,0, ,-0.14,-0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.521,0,0,0.051,0,0, ,0.1,0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.528,0,0,0.059,0,0, ,0.02,0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.543,0.015,0.007,0.059,0,0, ,0.02,0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.535,0,0,0.059,0,0, ,-0.06,0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.535,0.007,0.007,0.066,0,0, ,-0.06,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.521,0,0,0.044,0,0, ,0.02,0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.535,0,0,0.044,0,0, ,0.1,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.521,0,0,0.059,0,0, ,0.02,0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.535,0,0,0.044,0,0, ,0.02,0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.543,0,0,0.059,0,0, ,-0.06,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.543,0,0,0.059,0,0, ,-0.14,0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.535,0.007,0,0.059,0,0, ,-0.3,-0.36,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.535,0.007,0,0.051,0,0, ,-0.22,0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.535,0,0,0.051,0,0, ,-0.14,-0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.543,0,0,0.059,0,0, ,-0.06,0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.535,0,0,0.059,0,0, ,-0.06,0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.535,0,0,0.066,0,0, ,-0.14,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.543,0,0,0.051,0,0, ,0.18,0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.55,0.007,0.007,0.073,0,0, ,-0.06,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.535,0.007,0,0.044,0,0, ,-0.06,-0.2,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.543,0,0,0.066,0,0, ,-0.06,0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.528,0,0,0.051,0,0, ,0.02,-0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.535,0,0,0.066,0,0, ,0.1,-0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.55,0,0,0.059,0,0, ,-0.14,0.04,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
4.55,0.007,0,0.066,0,0, ,-0.06,0.12,0,0,0,0,,4000,0,4000,0,4000,0,4000,0,4000,0,0,0
