,,,,,,,,,,,,,,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,3.6,Close -Velocity (m/s) :,3.58,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0
,,,,,,,,,,,,,,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,6.31,Open -Velocity (m/s) :,6.28,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,0
,,,,,,,,,,,,,,TR2,,TR2,,TR4,,TR4,,TR2,,TR2,
,,,,,,,,,,,,,,NA,,NA,,BBreak1,,BBreak2,,NA,,NA,
Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp
1.121,1.136,1.062,0.037,0,0, ,0,0,0,-0.16,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.15,1.165,1.055,0.015,0,0, ,0,0,0,-0.16,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.165,1.18,1.084,0.029,0,0, ,0,0,0,-0.24,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.18,1.202,1.084,0.029,0,0, ,0,0,0,0,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.18,1.18,1.092,0.059,0,0, ,0,0,0,-0.24,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.194,1.194,1.121,0.044,0,0, ,0,0,0,-0.08,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
1.18,1.202,1.121,0.051,0,0, ,0,0,0,-0.16,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.194,1.202,1.128,0.044,0,0, ,0,0,0,-0.24,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
1.202,1.224,1.128,0.037,0,0, ,0,0,0,-0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.209,1.209,1.121,0.051,0,0, ,0,0,0,0,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.209,1.224,1.136,0.059,0,0, ,0,0,0,-0.16,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
1.216,1.238,1.15,0.037,0,0, ,0,0,0,-0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.224,1.224,1.158,0.051,0,0, ,0,0,0,-0.24,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.231,1.231,1.18,0.051,0,0, ,0,0,0,-0.16,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.246,1.253,1.172,0.037,0,0, ,0,0,0,-0.16,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.253,1.26,1.18,0.059,0,0, ,0,0,0,-0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.275,1.312,1.231,0.051,0,0, ,0,0,0,0,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.282,1.297,1.216,0.037,0,0, ,0,0,0,-0.08,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
