,,,,,,,,,,,,,,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,3.54,Close -Velocity (m/s) :,3.49,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0
,,,,,,,,,,,,,,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,7.45,Open -Velocity (m/s) :,7.37,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,0
,,,,,,,,,,,,,,TR2,,TR2,,TR4,,TR4,,TR2,,TR2,
,,,,,,,,,,,,,,NA,,NA,,YBreak1,,YBreak2,,NA,,NA,
Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp
1.048,1.077,0.996,0.051,0,0, ,0,0,0,0.06,0,0,,4000,30.37,4000,0,4000,0,4000,0,0,0,555.8,0
1.106,1.121,1.062,0.037,0,0, ,0,0,0,-0.02,0,0,,4000,30.37,4000,0,4000,0,4000,0,0,0,555.8,0
1.114,1.114,1.084,0.022,0,0, ,0,0,0,-0.1,0,0,,4000,30.37,4000,0,4000,0,4000,0,0,0,555.8,0
1.106,1.114,1.062,0.037,0,0, ,0,0,0,-0.02,0,0,,4000,30.37,4000,0,4000,0,4000,0,0,0,555.8,0
1.15,1.15,1.121,0.015,0,0, ,0,0,0,0.06,0,0,,4000,30.37,4000,0,4000,0,4000,0,0,0,555.8,0
1.15,1.15,1.099,0.037,0,0, ,0,0,0,-0.18,0,0,,4000,30.37,4000,0,4000,0,4000,0,0,0,555.8,0
1.15,1.165,1.121,0.051,0,0, ,0,0,0,-0.02,0,0,,4000,30.4,4000,0,4000,0,4000,0,0,0,555.8,0
1.187,1.172,1.128,0.037,0,0, ,0,0,0,-0.02,0,0,,4000,30.33,4000,0,4000,0,4000,0,0,0,555.8,0
1.172,1.187,1.136,0.037,0,0, ,0,0,0,-0.1,0,0,,4000,30.37,4000,0,4000,0,4000,0,0,0,555.8,0
1.194,1.18,1.15,0.051,0,0, ,0,0,0,-0.1,0,0,,4000,30.4,4000,0,4000,0,4000,0,0,0,555.8,0
1.202,1.209,1.187,0.022,0,0, ,0,0,0,-0.02,0,0,,4000,30.37,4000,0,4000,0,4000,0,0,0,444.44,0
1.187,1.194,1.158,0.051,0,0, ,0,0,0,-0.1,0,0,,4000,30.37,4000,0,4000,0,4000,0,0,0,555.8,0
1.202,1.216,1.15,0.059,0,0, ,0,0,0,-0.02,0,0,,4000,30.37,4000,0,4000,0,4000,0,0,0,555.8,0
1.231,1.238,1.202,0.029,0,0, ,0,0,0,0.06,0,0,,4000,30.37,4000,0,4000,0,4000,0,0,0,555.8,0
1.209,1.216,1.18,0.037,0,0, ,0,0,0,-0.02,0,0,,4000,30.37,4000,0,4000,0,4000,0,0,0,555.8,0
1.194,1.209,1.18,0.044,0,0, ,0,0,0,-0.02,0,0,,4000,30.4,4000,0,4000,0,4000,0,0,0,555.8,0
1.231,1.238,1.202,0.044,0,0, ,0,0,0,-0.18,0,0,,4000,30.33,4000,0,4000,0,4000,0,0,0,555.8,0
1.224,1.231,1.187,0.059,0,0, ,0,0,0,-0.1,0,0,,4000,30.37,4000,0,4000,0,4000,0,0,0,555.8,0
1.246,1.26,1.224,0.044,0,0, ,0,0,0,0.14,0,0,,4000,30.37,4000,0,4000,0,4000,0,0,0,555.8,0
1.26,1.275,1.231,0.037,0,0, ,0,0,0,-0.18,0,0,,4000,30.37,4000,0,4000,0,4000,0,0,0,555.8,0
1.253,1.253,1.216,0.051,0,0, ,0,0,0,-0.26,0,0,,4000,30.33,4000,0,4000,0,4000,0,0,0,555.8,0
1.304,1.297,1.268,0.044,0,0, ,0,0,0,-0.02,0,0,,4000,30.37,4000,0,4000,0,4000,0,0,0,555.8,0
1.29,1.297,1.268,0.044,0,0, ,0,0,0,-0.18,0,0,,4000,30.37,4000,0,4000,0,4000,0,0,0,555.8,0
1.312,1.319,1.268,0.051,0,0, ,0,0,0,-0.1,0,0,,4000,30.37,4000,0,4000,0,4000,0,0,0,555.8,0
1.356,1.356,1.304,0.037,0,0, ,0,0,0,-0.18,0,0,,4000,30.4,4000,0,4000,0,4000,0,0,0,555.8,0
1.348,1.356,1.297,0.051,0,0, ,0,0,0,-0.18,0,0,,4000,30.37,4000,0,4000,0,4000,0,0,0,444.44,0
1.334,1.348,1.297,0.066,0,0, ,0,0,0,-0.1,0,0,,4000,30.4,4000,0,4000,0,4000,0,0,0,555.8,0
1.377,1.377,1.326,0.044,0,0, ,0,0,0,0.06,0,0,,4000,30.37,4000,0,4000,0,4000,0,0,0,555.8,0
1.363,1.377,1.319,0.059,0,0.007, ,0,0,0,-0.18,0,0,,4000,30.37,4000,0,4000,0,4000,0,0,0,444.44,0
1.37,1.407,1.356,0.044,0,0, ,0,0,0,-0.1,0,0,,4000,30.33,4000,0,4000,0,4000,0,0,0,444.44,0
1.421,1.436,1.385,0.044,0,0, ,0,0,0,0.14,0,0,,4000,30.37,4000,0,4000,0,4000,0,0,0,555.8,0
1.399,1.414,1.348,0.059,0.007,0, ,0,0,0,-0.1,0,0,,4000,30.33,4000,0,4000,0,4000,0,0,0,555.8,0
1.421,1.436,1.37,0.044,0,0, ,0,0,0,-0.02,0,0,,4000,30.37,4000,0,4000,0,4000,0,0,0,444.44,0
1.465,1.473,1.392,0.029,0,0, ,0,0,0,-0.02,0,0,,4000,30.37,4000,0,4000,0,4000,0,0,0,555.8,0
1.429,1.436,1.407,0.051,0,0, ,0,0,0,-0.02,0,0,,4000,30.33,4000,0,4000,0,4000,0,0,0,444.44,0
1.443,1.458,1.436,0.051,0,0, ,0,0,0,0.14,0,0,,4000,30.33,4000,0,4000,0,4000,0,0,0,555.8,0
1.473,1.473,1.436,0.037,0,0, ,0,0,0,-0.1,0,0,,4000,30.37,4000,0,4000,0,4000,0,0,0,555.8,0
1.451,1.458,1.407,0.059,0,0, ,0,0,0,-0.02,0,0,,4000,30.33,4000,0,4000,0,4000,0,0,0,444.44,0
1.458,1.48,1.436,0.051,0,0, ,0,0,0,-0.1,0,0,,4000,30.33,4000,0,4000,0,4000,0,0,0,555.8,0
1.487,1.502,1.465,0.037,0,0, ,0,0,0,0.14,0,0,,4000,30.33,4000,0,4000,0,4000,0,0,0,444.44,0
1.465,1.487,1.421,0.029,0,0, ,0,0,0,-0.02,0,0,,4000,30.33,4000,0,4000,0,4000,0,0,0,444.44,0
1.495,1.495,1.458,0.015,0,0, ,0,0,0,-0.1,0,0,,4000,30.33,4000,0,4000,0,4000,0,0,0,444.44,0
1.48,1.495,1.443,0.029,0,0, ,0,0,0,-0.1,0,0,,4000,30.37,4000,0,4000,0,4000,0,0,0,444.44,0
1.458,1.48,1.421,0.037,0,0, ,0,0,0,-0.02,0,0,,4000,30.33,4000,0,4000,0,4000,0,0,0,444.44,0
1.495,1.502,1.436,0.022,0,0, ,0,0,0,-0.02,0,0,,4000,30.33,4000,0,4000,0,4000,0,0,0,555.8,0
1.502,1.502,1.451,0.029,0,0, ,0,0,0,-0.18,0,0,,4000,30.33,4000,0,4000,0,4000,0,0,0,444.44,0
1.48,1.487,1.443,0.044,0,0, ,0,0,0,-0.02,0,0,,4000,30.33,4000,0,4000,0,4000,0,0,0,444.44,0
1.487,1.502,1.465,0.037,0,0, ,0,0,0,0.14,0,0,,4000,30.33,4000,0,4000,0,4000,0,0,0,555.8,0
1.487,1.487,1.436,0.037,0,0, ,0,0,0,-0.02,0,0,,4000,30.33,4000,0,4000,0,4000,0,0,0,444.44,0
1.48,1.509,1.465,0.051,0,0, ,0,0,0,-0.02,0,0,,4000,30.37,4000,0,4000,0,4000,0,0,0,444.44,0
1.502,1.524,1.48,0.029,0,0, ,0,0,0,-0.02,0,0,,4000,30.29,4000,0,4000,0,4000,0,0,0,444.44,0
1.48,1.517,1.458,0.022,0,0, ,0,0,0,-0.02,0,0,,4000,30.33,4000,0,4000,0,4000,0,0,0,444.44,0
1.509,1.539,1.473,0.037,0,0, ,0,0,0,-0.02,0,0,,4000,30.33,4000,0,4000,0,4000,0,0,0,444.44,0
1.517,1.509,1.487,0.015,0,0, ,0,0,0,-0.26,0,0,,4000,30.33,4000,0,4000,0,4000,0,0,0,444.44,0
1.495,1.502,1.458,0.044,0,0, ,0,0,0,0.06,0,0,,4000,30.33,4000,0,4000,0,4000,0,0,0,444.44,0
1.502,1.524,1.451,0.044,0,0, ,0,0,0,0.14,0,0,,4000,30.37,4000,0,4000,0,4000,0,0,0,444.44,0
1.524,1.531,1.473,0.037,0,0, ,0,0,0,-0.1,0,0,,4000,30.33,4000,0,4000,0,4000,0,0,0,444.44,0
1.495,1.502,1.443,0.044,0,0, ,0,0,0,-0.1,0,0,,4000,30.37,4000,0,4000,0,4000,0,0,0,444.44,0
1.509,1.509,1.451,0.037,0,0, ,0,0,0,-0.02,0,0,,4000,30.33,4000,0,4000,0,4000,0,0,0,555.8,0
1.524,1.517,1.451,0.029,0,0, ,0,0,0,0.06,0,0,,4000,30.33,4000,0,4000,0,4000,0,0,0,444.44,0
1.487,1.502,1.465,0.059,0,0, ,0,0,0,-0.1,0,0,,4000,30.33,4000,0,4000,0,4000,0,0,0,555.8,0
1.531,1.524,1.487,0.037,0,0, ,0,0,0,0.06,0,0,,4000,30.37,4000,0,4000,0,4000,0,0,0,555.8,0
1.517,1.531,1.473,0.037,0,0, ,0,0,0,-0.1,0,0,,4000,30.33,4000,0,4000,0,4000,0,0,0,444.44,0
1.509,1.509,1.458,0.044,0,0, ,0,0,0,0.06,0,0,,4000,30.37,4000,0,4000,0,4000,0,0,0,444.44,0
1.553,1.553,1.495,0.029,0,0, ,0,0,0,-0.02,0,0,,4000,30.33,4000,0,4000,0,4000,0,0,0,444.44,0
1.509,1.524,1.473,0.044,0,0, ,0,0,0,-0.02,0,0,,4000,30.37,4000,0,4000,0,4000,0,0,0,444.44,0
