,,,,,,,,,,,,,,Close -Velocity (m/s) :,3.64,Close -Velocity (m/s) :,3.64,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0
,,,,,,,,,,,,,,Open -Velocity (m/s) :,6.4,Open -Velocity (m/s) :,6.28,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,0
,,,,,,,,,,,,,,TR4,,TR4,,TR2,,TR2,,TR2,,TR2,
,,,,,,,,,,,,,,BBreak1,,BBreak2,,NA,,NA,,NA,,NA,
Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp
1.121,1.121,0.953,0.051,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.57,4000,0,0,0
1.114,1.15,0.96,0.044,0,0, ,0,0,0,-0.12,0,0,,4000,0,4000,0,0,0,4000,25.57,4000,0,0,0
1.15,1.172,0.996,0.037,0,0, ,0,0,0,-0.12,0,0,,4000,0,4000,0,0,0,4000,25.57,4000,0,0,0
1.187,1.18,1.011,0.051,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.57,4000,0,0,0
1.209,1.224,1.04,0.029,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.57,4000,0,0,0
1.216,1.231,1.033,0.022,0,0, ,0,0,0,0.2,0,0,,4000,0,4000,0,0,0,4000,25.57,4000,0,0,0
1.224,1.238,1.055,0.051,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.57,4000,0,0,0
1.209,1.224,1.048,0.044,0,0, ,0,0,0,0.12,0,0,,4000,0,4000,0,0,0,4000,25.57,4000,0,0,0
1.224,1.231,1.04,0.051,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.57,4000,0,0,0
1.26,1.26,1.07,0.029,0,0, ,0,0,0,0.12,0,0,,4000,0,4000,0,0,0,4000,25.57,4000,0,0,0
1.246,1.26,1.07,0.037,0,0, ,0,0,0,0.12,0,0,,4000,0,4000,0,0,0,4000,25.53,4000,0,0,0
1.282,1.29,1.114,0.044,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.57,4000,0,0,0
1.268,1.275,1.106,0.037,0,0, ,0,0,0,0.12,0,0,,4000,0,4000,0,0,0,4000,25.6,4000,0,0,0
1.268,1.282,1.106,0.051,0,0, ,0,0,0,-0.04,0,0,,4000,0,4000,0,0,0,4000,25.6,4000,0,0,0
1.253,1.275,1.084,0.059,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.57,4000,0,0,0
1.26,1.268,1.084,0.059,0,0, ,0,0,0,-0.04,0,0,,4000,0,4000,0,0,0,4000,25.53,4000,0,0,0
1.297,1.304,1.121,0.037,0,0, ,0,0,0,-0.04,0,0,,4000,0,4000,0,0,0,4000,25.57,4000,0,0,0
1.297,1.297,1.099,0.059,0,0, ,0,0,0,0.12,0,0,,4000,0,4000,0,0,0,4000,25.57,4000,0,0,0
1.304,1.312,1.121,0.037,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.57,4000,0,0,0
1.297,1.319,1.128,0.044,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.53,4000,0,0,0
1.297,1.334,1.136,0.073,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.53,4000,0,0,0
1.326,1.341,1.136,0.044,0,0, ,0,0,0,-0.04,0,0,,4000,0,4000,0,0,0,4000,25.53,4000,0,0,0
1.348,1.348,1.143,0.037,0,0, ,0,0,0,0.12,0,0,,4000,0,4000,0,0,0,4000,25.57,4000,0,0,0
1.348,1.37,1.18,0.044,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.57,4000,0,0,0
1.37,1.363,1.18,0.044,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.53,4000,0,0,0
1.377,1.392,1.209,0.037,0,0, ,0,0,0,-0.12,0,0,,4000,0,4000,0,0,0,4000,25.53,4000,0,0,0
1.363,1.377,1.187,0.051,0,0, ,0,0,0,-0.04,0,0,,4000,0,4000,0,0,0,4000,25.57,4000,0,0,0
1.363,1.385,1.18,0.073,0,0, ,0,0,0,-0.12,0,0,,4000,0,4000,0,0,0,4000,25.53,4000,0,0,0
1.414,1.421,1.216,0.044,0,0, ,0,0,0,-0.12,0,0,,4000,0,4000,0,0,0,4000,25.53,4000,0,0,0
1.407,1.414,1.18,0.037,0,0, ,0,0,0,-0.04,0,0,,4000,0,4000,0,0,0,4000,25.57,4000,0,0,0
1.421,1.451,1.216,0.022,0,0, ,0,0,0,-0.04,0,0,,4000,0,4000,0,0,0,4000,25.57,4000,0,0,0
1.429,1.443,1.216,0.029,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.57,4000,0,0,0
1.436,1.443,1.238,0.044,0,0, ,0,0,0,0.12,0,0,,4000,0,4000,0,0,0,4000,25.49,4000,0,0,0
1.429,1.443,1.224,0.059,0,0, ,0,0,0,-0.04,0,0,,4000,0,4000,0,0,0,4000,25.53,4000,0,0,0
1.429,1.458,1.231,0.066,0,0, ,0,0,0,-0.12,0,0,,4000,0,4000,0,0,0,4000,25.53,4000,0,0,0
1.451,1.465,1.26,0.044,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.49,4000,0,0,0
1.465,1.458,1.268,0.044,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.53,4000,0,0,0
1.495,1.502,1.297,0.022,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.53,4000,0,0,0
1.473,1.487,1.275,0.037,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.53,4000,0,0,0
1.465,1.487,1.253,0.044,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.57,4000,0,0,0
1.465,1.48,1.253,0.051,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.6,4000,0,0,0
1.48,1.48,1.268,0.059,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.53,4000,0,0,0
1.495,1.502,1.29,0.044,0,0, ,0,0,0,-0.12,0,0,,4000,0,4000,0,0,0,4000,25.57,4000,0,0,0
1.495,1.517,1.304,0.029,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.57,4000,0,0,0
1.531,1.524,1.326,0.029,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.57,4000,0,0,0
1.502,1.524,1.319,0.044,0,0, ,0,0,0,0.12,0,0,,4000,0,4000,0,0,0,4000,25.53,4000,0,0,0
1.487,1.509,1.29,0.059,0,0, ,0,0,0,0.2,0,0,,4000,0,4000,0,0,0,4000,25.53,4000,0,0,0
1.502,1.524,1.29,0.051,0,0, ,0,0,0,-0.12,0,0,,4000,0,4000,0,0,0,4000,25.53,4000,0,0,0
1.495,1.509,1.304,0.051,0,0, ,0,0,0,-0.04,0,0,,4000,0,4000,0,0,0,4000,25.53,4000,0,0,0
1.524,1.531,1.312,0.051,0,0, ,0,0,0,-0.04,0,0,,4000,0,4000,0,0,0,4000,25.53,4000,0,0,0
1.539,1.531,1.334,0.037,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,25.49,4000,0,0,0
1.524,1.539,1.312,0.051,0,0, ,0,0,0,0.12,0,0,,4000,0,4000,0,0,0,4000,25.49,4000,0,0,0
