,,,,,,,,,,,,,,Close -Velocity (m/s) :,3.73,Close -Velocity (m/s) :,3.69,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0
,,,,,,,,,,,,,,Open -Velocity (m/s) :,6.56,Open -Velocity (m/s) :,6.41,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,0
,,,,,,,,,,,,,,TR4,,TR4,,TR2,,TR2,,TR2,,TR2,
,,,,,,,,,,,,,,RBreak1,,RBreak2,,NA,,NA,,NA,,NA,
Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp
1.15,1.158,0.982,0.044,0,0, ,0,0,0,0.12,0,0,,4000,0,4000,0,0,0,4000,19.6,4000,0,0,0
1.18,1.194,0.989,0.029,0,0, ,0,0,0,0.12,0,0,,4000,0,4000,0,0,0,4000,19.63,4000,0,0,0
1.209,1.202,1.004,0.044,0,0, ,0,0,0,-0.04,0,0,,4000,0,4000,0,0,0,4000,19.63,4000,0,0,0
1.194,1.202,0.996,0.044,0,0, ,0,0,0,-0.04,0,0,,4000,0,4000,0,0,0,4000,19.63,4000,0,0,0
1.194,1.209,1.004,0.066,0.007,0, ,0,0,0,-0.04,0,0,,4000,0,4000,0,0,0,4000,19.6,4000,0,0,0
1.209,1.231,1.062,0.037,0,0, ,0,0,0,0.12,0,0,,4000,0,4000,0,0,0,4000,19.63,4000,0,0,0
1.253,1.253,1.077,0.029,0,0, ,0,0,0,-0.04,0,0,,4000,0,4000,0,0,0,4000,19.6,4000,0,0,0
1.253,1.253,1.07,0.029,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,19.6,4000,0,0,0
1.246,1.253,1.062,0.037,0,0, ,0,0,0,-0.04,0,0,,4000,0,4000,0,0,0,4000,19.6,4000,0,0,0
1.224,1.238,1.026,0.051,0,0, ,0,0,0,-0.04,0,0,,4000,0,4000,0,0,0,4000,19.6,4000,0,0,0
1.246,1.268,1.033,0.051,0,0, ,0,0,0,0.12,0,0,,4000,0,4000,0,0,0,4000,19.6,4000,0,0,0
1.26,1.268,1.084,0.037,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,19.63,4000,0,0,0
1.29,1.29,1.084,0.029,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,19.6,4000,0,0,0
1.268,1.268,1.062,0.037,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,19.63,4000,0,0,0
1.238,1.253,1.055,0.037,0,0, ,0,0,0,-0.04,0,0,,4000,0,4000,0,0,0,4000,19.63,4000,0,0,0
1.246,1.253,1.077,0.059,0,0, ,0,0,0,-0.04,0,0,,4000,0,4000,0,0,0,4000,19.6,4000,0,0,0
1.253,1.268,1.07,0.044,0,0, ,0,0,0,0.12,0,0,,4000,0,4000,0,0,0,4000,19.6,4000,0,0,0
1.312,1.319,1.114,0.029,0,0, ,0,0,0,0.2,0,0,,4000,0,4000,0,0,0,4000,19.63,4000,0,0,0
1.312,1.312,1.114,0.037,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,19.6,4000,0,0,0
1.304,1.312,1.099,0.059,0,0, ,0,0,0,0.12,0,0,,4000,0,4000,0,0,0,4000,19.63,4000,0,0,0
1.312,1.312,1.106,0.059,0.007,0.007, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,19.6,4000,0,0,0
1.326,1.334,1.128,0.044,0,0, ,0,0,0,0.2,0,0,,4000,0,4000,0,0,0,4000,19.6,4000,0,0,0
1.348,1.363,1.15,0.044,0,0, ,0,0,0,0.12,0,0,,4000,0,4000,0,0,0,4000,19.6,4000,0,0,0
1.392,1.377,1.18,0.044,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,19.6,4000,0,0,0
1.37,1.385,1.143,0.044,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,19.6,4000,0,0,0
1.377,1.392,1.15,0.051,0,0, ,0,0,0,-0.04,0,0,,4000,0,4000,0,0,0,4000,19.6,4000,0,0,0
1.392,1.392,1.172,0.044,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,19.6,4000,0,0,0
1.399,1.407,1.194,0.051,0,0, ,0,0,0,-0.04,0,0,,4000,0,4000,0,0,0,4000,19.63,4000,0,0,0
1.421,1.443,1.209,0.051,0,0, ,0,0,0,0.2,0,0,,4000,0,4000,0,0,0,4000,19.6,4000,0,0,0
1.436,1.443,1.238,0.044,0,0, ,0,0,0,0.12,0,0,,4000,0,4000,0,0,0,4000,19.56,4000,0,0,0
1.421,1.451,1.231,0.051,0,0, ,0,0,0,-0.04,0,0,,4000,0,4000,0,0,0,4000,19.52,4000,0,0,0
1.429,1.458,1.246,0.051,0,0.007, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,19.52,4000,0,0,0
1.443,1.451,1.246,0.051,0,0, ,0,0,0,-0.04,0,0,,4000,0,4000,0,0,0,4000,19.56,4000,0,0,0
1.443,1.473,1.268,0.037,0,0, ,0,0,0,0.12,0,0,,4000,0,4000,0,0,0,4000,19.56,4000,0,0,0
1.48,1.495,1.275,0.029,0,0, ,0,0,0,-0.04,0,0,,4000,0,4000,0,0,0,4000,19.56,4000,0,0,0
1.48,1.465,1.231,0.044,0,0, ,0,0,0,-0.04,0,0,,4000,0,4000,0,0,0,4000,19.56,4000,0,0,0
1.473,1.48,1.253,0.044,0,0, ,0,0,0,0.12,0,0,,4000,0,4000,0,0,0,4000,19.56,4000,0,0,0
1.473,1.487,1.246,0.051,0,0, ,0,0,0,0.12,0,0,,4000,0,4000,0,0,0,4000,19.6,4000,0,0,0
1.495,1.509,1.268,0.037,0,0, ,0,0,0,0.12,0,0,,4000,0,4000,0,0,0,4000,19.63,4000,0,0,0
1.502,1.517,1.297,0.015,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,19.63,4000,0,0,0
1.524,1.539,1.312,0.022,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,19.63,4000,0,0,0
1.487,1.502,1.268,0.037,0,0, ,0,0,0,0.12,0,0,,4000,0,4000,0,0,0,4000,19.56,4000,0,0,0
1.487,1.495,1.253,0.059,0,0, ,0,0,0,0.12,0,0,,4000,0,4000,0,0,0,4000,19.56,4000,0,0,0
1.495,1.524,1.29,0.037,0,0, ,0,0,0,0.12,0,0,,4000,0,4000,0,0,0,4000,19.6,4000,0,0,0
1.524,1.531,1.29,0.037,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,19.6,4000,0,0,0
1.546,1.531,1.304,0.029,0,0, ,0,0,0,0.2,0,0,,4000,0,4000,0,0,0,4000,19.6,4000,0,0,0
1.539,1.524,1.319,0.044,0,0, ,0,0,0,0.12,0,0,,4000,0,4000,0,0,0,4000,19.6,4000,0,0,0
1.509,1.517,1.282,0.059,0,0.007, ,0,0,0,-0.04,0,0,,4000,0,4000,0,0,0,4000,19.6,4000,0,0,0
1.509,1.539,1.312,0.044,0,0, ,0,0,0,0.12,0,0,,4000,0,4000,0,0,0,4000,19.63,4000,0,0,0
1.524,1.546,1.304,0.044,0,0, ,0,0,0,0.12,0,0,,4000,0,4000,0,0,0,4000,19.6,4000,0,0,0
1.575,1.553,1.319,0.029,0,0, ,0,0,0,0.12,0,0,,4000,0,4000,0,0,0,4000,19.56,4000,0,0,0
1.524,1.531,1.297,0.051,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,19.6,4000,0,0,0
1.524,1.531,1.29,0.059,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,19.56,4000,0,0,0
1.531,1.539,1.29,0.066,0,0, ,0,0,0,0.12,0,0,,4000,0,4000,0,0,0,4000,19.6,4000,0,0,0
1.531,1.531,1.29,0.051,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,19.56,4000,0,0,0
1.546,1.553,1.319,0.037,0,0, ,0,0,0,0.12,0,0,,4000,0,4000,0,0,0,4000,19.52,4000,0,0,0
1.546,1.546,1.319,0.037,0,0, ,0,0,0,0.12,0,0,,4000,0,4000,0,0,0,4000,19.56,4000,0,0,0
1.531,1.539,1.29,0.037,0,0, ,0,0,0,-0.04,0,0,,4000,0,4000,0,0,0,4000,19.6,4000,0,0,0
1.517,1.539,1.275,0.037,0,0, ,0,0,0,-0.12,0,0,,4000,0,4000,0,0,0,4000,19.6,4000,0,0,0
1.502,1.539,1.282,0.037,0,0, ,0,0,0,-0.04,0,0,,4000,0,4000,0,0,0,4000,19.6,4000,0,0,0
1.561,1.546,1.304,0.037,0,0, ,0,0,0,0.12,0,0,,4000,0,4000,0,0,0,4000,19.6,4000,0,0,0
1.546,1.539,1.297,0.044,0,0, ,0,0,0,0.12,0,0,,4000,0,4000,0,0,0,4000,19.6,4000,0,0,0
1.531,1.546,1.312,0.037,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,19.6,4000,0,0,0
1.524,1.546,1.304,0.044,0,0, ,0,0,0,-0.04,0,0,,4000,0,4000,0,0,0,4000,19.63,4000,0,0,0
1.524,1.531,1.297,0.051,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,19.56,4000,0,0,0
1.546,1.539,1.304,0.037,0,0, ,0,0,0,0.12,0,0,,4000,0,4000,0,0,0,4000,19.63,4000,0,0,0
1.524,1.531,1.304,0.037,0,0, ,0,0,0,0.2,0,0,,4000,0,4000,0,0,0,4000,19.56,4000,0,0,0
1.539,1.553,1.304,0.029,0,0, ,0,0,0,-0.04,0,0,,4000,0,4000,0,0,0,4000,19.6,4000,0,0,0
1.539,1.546,1.29,0.022,0,0, ,0,0,0,-0.12,0,0,,4000,0,4000,0,0,0,4000,19.56,4000,0,0,0
1.531,1.539,1.297,0.037,0,0, ,0,0,0,-0.12,0,0,,4000,0,4000,0,0,0,4000,19.6,4000,0,0,0
1.509,1.531,1.304,0.059,0,0, ,0,0,0,0.04,0,0,,4000,0,4000,0,0,0,4000,19.6,4000,0,0,0
1.539,1.539,1.304,0.051,0,0, ,0,0,0,0.28,0,0,,4000,0,4000,0,0,0,4000,19.6,4000,0,0,0
1.561,1.561,1.334,0.044,0,0, ,0,0,0,0.12,0,0,,4000,0,4000,0,0,0,4000,19.56,4000,0,0,0
1.546,1.553,1.319,0.044,0,0, ,0,0,0,-0.04,0,0,,4000,0,4000,0,0,0,4000,19.6,4000,0,0,0
1.546,1.553,1.319,0.051,0,0, ,0,0,0,-0.04,0,0,,4000,0,4000,0,0,0,4000,19.6,4000,0,0,0
1.524,1.531,1.282,0.059,0,0, ,0,0,0,-0.04,0,0,,4000,0,4000,0,0,0,4000,19.6,4000,0,0,0
