,,,,,,,,,,,,,,Close -Velocity (m/s) :,3.77,Close -Velocity (m/s) :,3.77,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0
,,,,,,,,,,,,,,Open -Velocity (m/s) :,7.72,Open -Velocity (m/s) :,7.61,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,0
,,,,,,,,,,,,,,TR4,,TR4,,TR2,,TR2,,TR2,,TR2,
,,,,,,,,,,,,,,YBreak1,,YBreak2,,NA,,NA,,NA,,NA,
Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp
1.084,1.099,0.923,0.059,0,0, ,0,0,0,-0.18,0,0,,4000,0,4000,0,0,0,4000,25.71,4000,0,0,0
1.099,1.136,0.945,0.066,0.007,0, ,0,0,0,-0.1,0,0,,4000,0,4000,0,0,0,4000,25.68,4000,0,0,0
1.143,1.143,0.982,0.029,0,0, ,0,0,0,-0.1,0,0,,4000,0,4000,0,0,0,4000,25.71,4000,0,0,0
1.136,1.165,0.996,0.066,0.007,0.007, ,0,0,0,-0.18,0,0,,4000,0,4000,0,0,0,4000,25.64,4000,0,0,0
1.158,1.18,1.011,0.059,0,0.015, ,0,0,0,-0.02,0,0,,4000,0,4000,0,0,0,4000,25.68,4000,0,0,0
1.172,1.194,1.018,0.044,0,0, ,0,0,0,-0.1,0,0,,4000,0,4000,0,0,0,4000,25.68,4000,0,0,0
1.187,1.202,1.026,0.066,0,0.007, ,0,0,0,-0.1,0,0,,4000,0,4000,0,0,0,4000,25.64,4000,0,0,0
1.202,1.224,1.055,0.037,0,0, ,0,0,0,-0.18,0,0,,4000,0,4000,0,0,0,4000,25.64,4000,0,0,0
1.224,1.246,1.077,0.051,0,0, ,0,0,0,-0.26,0,0,,4000,0,4000,0,0,0,4000,25.68,4000,0,0,0
1.209,1.224,1.026,0.044,0,0, ,0,0,0,-0.18,0,0,,4000,0,4000,0,0,0,4000,25.71,4000,0,0,0
1.216,1.238,1.055,0.044,0,0, ,0,0,0,-0.1,0,0,,4000,0,4000,0,0,0,4000,25.68,4000,0,0,0
1.231,1.246,1.07,0.022,0,0, ,0,0,0,-0.26,0,0,,4000,0,4000,0,0,0,4000,25.68,4000,0,0,0
1.238,1.231,1.055,0.044,0,0, ,0,0,0,-0.1,0,0,,4000,0,4000,0,0,0,4000,25.68,4000,0,0,0
1.246,1.246,1.077,0.029,0,0, ,0,0,0,-0.1,0,0,,4000,0,4000,0,0,0,4000,25.71,4000,0,0,0
1.246,1.26,1.077,0.029,0,0, ,0,0,0,-0.1,0,0,,4000,0,4000,0,0,0,4000,25.68,4000,0,0,0
1.231,1.238,1.055,0.044,0,0, ,0,0,0,-0.1,0,0,,4000,0,4000,0,0,0,4000,25.71,4000,0,0,0
1.231,1.253,1.07,0.029,0,0, ,0,0,0,-0.1,0,0,,4000,0,4000,0,0,0,4000,25.68,4000,0,0,0
1.253,1.268,1.092,0.037,0,0, ,0,0,0,-0.18,0,0,,4000,0,4000,0,0,0,4000,25.71,4000,0,0,0
1.253,1.268,1.092,0.044,0,0, ,0,0,0,-0.1,0,0,,4000,0,4000,0,0,0,4000,25.68,4000,0,0,0
1.29,1.297,1.121,0.029,0,0, ,0,0,0,-0.1,0,0,,4000,0,4000,0,0,0,4000,25.71,4000,0,0,0
1.304,1.304,1.121,0.029,0,0, ,0,0,0,-0.1,0,0,,4000,0,4000,0,0,0,4000,25.71,4000,0,0,0
1.312,1.297,1.128,0.044,0,0, ,0,0,0,-0.1,0,0,,4000,0,4000,0,0,0,4000,25.68,4000,0,0,0
1.326,1.334,1.15,0.022,0,0, ,0,0,0,-0.1,0,0,,4000,0,4000,0,0,0,4000,25.71,4000,0,0,0
1.326,1.341,1.143,0.029,0,0, ,0,0,0,-0.1,0,0,,4000,0,4000,0,0,0,4000,25.71,4000,0,0,0
1.341,1.356,1.18,0.037,0,0, ,0,0,0,0.06,0,0,,4000,0,4000,0,0,0,4000,25.71,4000,0,0,0
1.377,1.377,1.202,0.022,0,0, ,0,0,0,-0.02,0,0,,4000,0,4000,0,0,0,4000,25.71,4000,0,0,0
1.37,1.377,1.187,0.037,0,0, ,0,0,0,-0.02,0,0,,4000,0,4000,0,0,0,4000,25.71,4000,0,0,0
1.377,1.407,1.209,0.037,0,0, ,0,0,0,-0.1,0,0,,4000,0,4000,0,0,0,4000,25.71,4000,0,0,0
1.414,1.421,1.224,0.029,0,0, ,0,0,0,-0.1,0,0,,4000,0,4000,0,0,0,4000,25.68,4000,0,0,0
1.407,1.414,1.216,0.037,0,0, ,0,0,0,-0.1,0,0,,4000,0,4000,0,0,0,4000,25.71,4000,0,0,0
1.429,1.443,1.26,0.044,0,0, ,0,0,0,-0.02,0,0,,4000,0,4000,0,0,0,4000,25.68,4000,0,0,0
1.414,1.436,1.246,0.037,0,0, ,0,0,0,-0.02,0,0,,4000,0,4000,0,0,0,4000,25.71,4000,0,0,0
1.421,1.443,1.246,0.037,0,0, ,0,0,0,-0.02,0,0,,4000,0,4000,0,0,0,4000,25.68,4000,0,0,0
1.443,1.458,1.26,0.029,0,0, ,0,0,0,-0.1,0,0,,4000,0,4000,0,0,0,4000,25.68,4000,0,0,0
1.473,1.48,1.282,0.037,0,0, ,0,0,0,0.06,0,0,,4000,0,4000,0,0,0,4000,25.71,4000,0,0,0
1.451,1.458,1.246,0.037,0,0, ,0,0,0,0.14,0,0,,4000,0,4000,0,0,0,4000,25.68,4000,0,0,0
1.465,1.487,1.297,0.044,0,0, ,0,0,0,-0.1,0,0,,4000,0,4000,0,0,0,4000,25.68,4000,0,0,0
1.465,1.48,1.29,0.051,0,0, ,0,0,0,-0.1,0,0,,4000,0,4000,0,0,0,4000,25.68,4000,0,0,0
1.451,1.487,1.29,0.051,0,0, ,0,0,0,-0.1,0,0,,4000,0,4000,0,0,0,4000,25.68,4000,0,0,0
1.487,1.509,1.312,0.022,0,0, ,0,0,0,-0.1,0,0,,4000,0,4000,0,0,0,4000,25.64,4000,0,0,0
1.48,1.495,1.304,0.029,0,0, ,0,0,0,-0.02,0,0,,4000,0,4000,0,0,0,4000,25.68,4000,0,0,0
1.451,1.509,1.297,0.029,0,0, ,0,0,0,0.06,0,0,,4000,0,4000,0,0,0,4000,25.68,4000,0,0,0
1.473,1.487,1.282,0.044,0,0, ,0,0,0,-0.1,0,0,,4000,0,4000,0,0,0,4000,25.64,4000,0,0,0
1.473,1.495,1.29,0.029,0,0, ,0,0,0,-0.1,0,0,,4000,0,4000,0,0,0,4000,25.64,4000,0,0,0
